date,Country/Territory/Area,Total confirmed cases,Total deaths,Transmission classification,Days since last reported case,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Likely place of exposure: China,Likely place of exposure: Outside reporting country and outside China,Likely place of exposure: In reporting country,Total cases with site of transmission under investigation
2020/02/14,Italy,3,0,,,3,0,,,,0
2020/02/14,Russian Federation,2,0,,,2,0,,,,0
2020/02/14,Spain,2,0,,,0,2,,,,0
2020/02/14,Belgium,1,0,,,1,0,,,,0
2020/02/14,Finland,1,0,,,1,0,,,,0
2020/02/14,Sweden,1,0,,,1,0,,,,0
2020/02/14,United Arab Emirates,8,0,,,6,1,,,,1
2020/02/14,International conveyance (Diamond Princess),218,0,,,0,0,,,,218
2020/02/15,Singapore,67,0,,,22,44,,,,1
2020/02/15,Japan,41,1,,,25,16,,,,0
2020/02/15,Republic of Korea,28,0,,,13,12,,,,3
2020/02/15,Malaysia,21,0,,,16,4,,,,1
2020/02/15,Viet Nam,16,0,,,8,8,,,,0
2020/02/15,Australia,15,0,,,12,3,,,,0
2020/02/15,Philippines,3,1,,,3,0,,,,0
2020/02/15,Cambodia,1,0,,,1,0,,,,0
2020/02/15,Thailand,34,0,,,23,7,,,,4
2020/02/15,India,3,0,,,3,0,,,,0
2020/02/15,Nepal,1,0,,,1,0,,,,0
2020/02/15,Sri Lanka,1,0,,,1,0,,,,0
2020/02/15,United States of America,15,0,,,13,2,,,,0
2020/02/15,Canada,7,0,,,6,0,,,,1
2020/02/15,Germany,16,0,,,2,14,,,,0
2020/02/15,France,11,0,,,5,6,,,,0
2020/02/15,The United Kingdom,9,0,,,2,7,,,,0
2020/02/15,Italy,3,0,,,3,0,,,,0
2020/02/15,Russian Federation,2,0,,,2,0,,,,0
2020/02/15,Spain,2,0,,,0,2,,,,0
2020/02/15,Belgium,1,0,,,1,0,,,,0
2020/02/15,Finland,1,0,,,1,0,,,,0
2020/02/15,Sweden,1,0,,,1,0,,,,0
2020/02/15,United Arab Emirates,8,0,,,6,1,,,,1
2020/02/15,Egypt,1,0,,,0,1,,,,0
2020/02/15,International conveyance (Diamond Princess),218,0,,,0,0,,,,218
2020/02/16,Singapore,72,0,,,22,49,,,,1
2020/02/16,Japan,53,1,,,26,27,,,,0
2020/02/16,Republic of Korea,29,0,,,13,13,,,,3
2020/02/16,Malaysia,22,0,,,17,4,,,,1
2020/02/16,Viet Nam,16,0,,,8,8,,,,0
2020/02/16,Australia,15,0,,,12,3,,,,0
2020/02/16,Philippines,3,1,,,3,0,,,,0
2020/02/16,Cambodia,1,0,,,1,0,,,,0
2020/02/16,Thailand,34,0,,,23,7,,,,4
2020/02/16,India,3,0,,,3,0,,,,0
2020/02/16,Nepal,1,0,,,1,0,,,,0
2020/02/16,Sri Lanka,1,0,,,1,0,,,,0
2020/02/16,United States of America,15,0,,,13,2,,,,0
2020/02/16,Canada,7,0,,,6,0,,,,1
2020/02/16,Germany,16,0,,,2,14,,,,0
2020/02/16,France,12,1,,,5,7,,,,0
2020/02/16,The United Kingdom,9,0,,,2,7,,,,0
2020/02/16,Italy,3,0,,,3,0,,,,0
2020/02/16,Russian Federation,2,0,,,2,0,,,,0
2020/02/16,Spain,2,0,,,0,2,,,,0
2020/02/16,Belgium,1,0,,,1,0,,,,0
2020/02/16,Finland,1,0,,,1,0,,,,0
2020/02/16,Sweden,1,0,,,1,0,,,,0
2020/02/16,United Arab Emirates,8,0,,,6,1,,,,1
2020/02/16,Egypt,1,0,,,0,1,,,,0
2020/02/16,International conveyance (Diamond Princess),355,0,,,0,0,,,,355
2020/02/17,Singapore,75,0,,,22,52,,,,1
2020/02/17,Japan,59,1,,,26,33,,,,0
2020/02/17,Republic of Korea,30,0,,,13,14,,,,3
